Word;Alternate;Rank;Translation;Note;Word Class
autre;autre;72.;adj. other, another;;adj
peu;le peu;73.;adv. little  n. bit  adj. few;;adj adv n
quelque;quelque;74.;adj. some;;adj
temps;le temps;75.;"n. time; weather";Il fait ça tout le temps.  /  Il y a un temps pour tout.  /  Je le fais tout le temps !;n
toujours;toujours;76.;adv. always, still, ever;Je le fais toujours.  /  Il est toujours avec moi.  /  Ça a toujours été comme ça.  /  Tu peux toujours le faire si tu veux.;adv
encore;encore;77.;adv. still, again;Il est encore ici.  /  Je fais encore ça de temps en temps.;adv
notre;notre;78.;pro. det. our;;det pro
besoin;le besoin;79.;n. need, want;Je vais avoir besoin de toi.;n
faut;falloir;80.;v. to need, to have to (used with 'il' to indicate necessity);;v
vie;la vie;81.;n. life;La vie est comme ça.  /  Je vous dois la vie.;n
aller;aller;82.;v. to go;Tu dois y aller même si tu ne le veux pas.;v
fois;la fois;83.;n. time (instance or occurrence of something);;n
sans;sans;84.;prep. without;;prep
donc;donc;85.;conj. therefore, thus;;conj
monde;le monde;86.;"n. world; people";Je le veux plus que tout au monde.;n
avant;avant;87.;adv. prep. before;;adv prep
sûr;sûr;88.;adj. sure, safe, secure;Êtes-vous sûr que tout va bien ?  /  Je suis sûr que je peux le faire.;adj
trop;trop;89.;adv. too much;;adv
parler;parler;90.;v. to speak, to talk;Je dois te parler de quelque chose.;v
père;le père;91.;n. father, dad;Tu es mon père.  /  Qui est votre père ?;n
personne;la personne;92.;n. person  pro. nobody, none;Je dois y aller en personne.  /  Il n'y a personne.;n pro
après;après;93.;prep. adv. after;Après vous.  /  Et après ?;adv prep
ouais;ouais;94.;part. yeah, yep;Mais ouais !;part
dieu;le dieu;95.;n. God;Je crois en Dieu.  /  Oh mon Dieu !;n
homme;l'homme (m);96.;n. man;Tu es un homme bon.  /  Je suis juste un autre homme.  /  Je vais faire de toi un homme.;n
femme;la femme;97.;n. woman;Tu es une femme.  /  Je pense que Dieu est une femme.;n
ok;ok;98.;int. okay;;int
leur;leur;99.;"pro. det. their; them";Je ne leur ai pas dit.  /  Je veux leur parler à tous.;det pro
vrai;vrai;100.;adj. adv. true, real;Et ça a longtemps été vrai.;adj adv
mal;le mal;101.;adj. bad, wrong  n. evil (opposite of good);;adj n
chez;chez;102.;prep. in, among, to;;prep
depuis;depuis;103.;prep. adv. since, from;;adv prep
déjà;déjà;104.;adv. already, previously;Tu as déjà fait ça.  /  Je sais déjà comment faire ça.;adv
beaucoup;beaucoup;105.;adv. much, many, a lot;;adv
mieux;mieux;106.;adv. better;Tu peux faire mieux que ça.;adv
mère;la mère;107.;n. mother;Je veux voir ta mère.  /  Qui est votre mère ?;n
fille;la fille;108.;"n. daughter; girl";;n
gens;les gens (m);109.;n. people, folks;Qui sont ces gens ?;n
quel;quel;110.;adj. pro. what, which;;adj pro
désolé;désolé;111.;adj. sorry;Désolé pour ça.;adj
voilà;voilà;112.;int. there it is, here it is;;int
petit;petit;113.;adj. small, little, short;Le monde est petit.  /  Tu es un peu plus petit que moi.;adj
maison;la maison;114.;n. house, home;Je suis dans la maison.  /  Cette maison est très bonne.  /  Mon père est à la maison.  /  Je veux faire ça à la maison.  /  Tout va bien à la maison ?;n
soir;le soir;115.;n. evening;Elle sera là ce soir.  /  Je vais les voir ce soir.;n
cela;cela;116.;pro. it, that;;pro
passé;le passé;117.;adj. gone  n. past (opposite of future);Nous avons fait quelque chose comme cela dans le passé.;adj n
jour;le jour;118.;n. day;Je vais vous en parler un jour.  /  Elle va mieux de jour en jour.;n
prendre;prendre;119.;v. to take, to catch;Tu peux prendre ce que tu veux.;v
monsieur;le monsieur;120.;n. sir, monsieur;;n
savoir;savoir;121.;v. to know;Je veux savoir ce que je peux faire.;v
argent;l'argent (m);122.;n. money, cash;Est-ce ton argent ?  /  Où est votre argent ?;n
nom;le nom;123.;n. name;Quel est votre nom ?  /  Je suis sûr de son nom.  /  Je sais quel est votre nom.;n
nuit;la nuit;124.;n. night;Je peux le faire toute la nuit.;n
bonjour;bonjour;125.;int. hello, hi, good morning;Bonjour !  /  Dis bonjour.  /  Je suis passé pour dire bonjour.;int
raison;la raison;126.;n. reason;;n
moins;moins;127.;adv. less;;adv
maman;la maman;128.;n. mom, mama;Maman a toujours raison.  /  Où est ta maman ?;n
reste;le reste;129.;n. rest, remainder;;n
air;l'air (m);130.;n. air;;n
seul;seul;131.;adj. only, single, alone;;adj
moment;le moment;132.;n. moment, point in time;Il me faut juste un moment.  /  Ce sera tout pour le moment.;n
aider;aider;133.;v. to help, to assist;Je suis là pour vous aider.;v
papa;le papa;134.;n. papa, dad, daddy;Papa est à la maison.  /  Comment va ton papa ?;n
entre;entre;135.;prep. between, among;Que cela reste entre nous!;prep
problème;le problème;136.;n. problem, issue;Je lui ai dit quel était le problème.;n
gars;le gars;137.;n. guy, dude;;n
fils;le fils;138.;n. son;Tu es toujours mon fils.  /  Je vous aime comme un fils.  /  De qui êtes-vous le fils ?;n
eh;eh;139.;int. eh...;;int
trois;trois;140.;num. three;Où sont les trois autres ?  /  Il a trois ans de plus que moi.;num
assez;assez;141.;adv. enough, quite;Vous en avez eu assez.  /  Tu en as fait assez.  /  Je sais que je suis assez bon.;adv
famille;la famille;142.;n. family;Je veux une famille.  /  Pense à ta famille !  /  Je le fais pour ma famille.;n
trouver;trouver;143.;v. to find;;v
travail;le travail;144.;n. work, job;Je lui ai trouvé un travail.  /  Le travail est tout pour moi.  /  Il était là pour le travail.  /  Vous avez fait un très bon travail.  /  Il y a beaucoup de travail à faire.;n
tête;la tête;145.;n. head;Tout ça est dans ta tête.;n
ah;ah;146.;int. ah!;;int
voiture;la voiture;147.;n. car, vehicle;Je suis dans la voiture.  /  Ma voiture est juste là.  /  Tu peux prendre ma voiture.  /  Avez-vous vu cette voiture ?;n
vite;vite;148.;adv. quickly, fast, soon;;adv
partir;partir;149.;v. to go away, to leave, to depart;Il est temps de partir.  /  Tu peux partir comme tu veux.;v
hé;hé;150.;int. eh...;;int
chance;la chance;151.;"n. luck; chance, opportunity";;n
pendant;pendant;152.;prep. during, for the duration of, for, while;;prep
idée;l'idée (f);153.;n. idea;Quelle idée !  /  Mon idée est mieux.  /  Il a eu une bonne idée.;n
part;la part;154.;n. share, part, portion;Vous avez fait votre part.;n
demain;demain;155.;adv. tomorrow;Je vais le voir demain.  /  Demain est un autre jour.  /  Tu peux faire ça demain.  /  Tu fais quelque chose demain soir?;adv
grand;grand;156.;adj. large, great, big;;adj
ami;l'ami (m);157.;n. friend;Je suis ici avec un ami.;n
venir;venir;158.;v. to come;Je lui ai dit de venir nous voir.;v
tard;tard;159.;adv. late;Il se fait tard.  /  Désolé de venir si tard.;adv
passer;passer;160.;v. to pass, to spend, to go;Je vais passer la nuit ici.  /  Il veut passer du temps avec son fils.  /  Je veux passer le reste de ma vie avec toi.;v
truc;le truc;161.;n. thing;Où est le truc ?;n
tant;tant;162.;adv. so much, so many;;adv
sens;le sens;163.;"n. sense; meaning; direction";;n
puis;puis;164.;"adv. then, after, next; indicates a succession";;adv
porte;la porte;165.;n. door, gate;Il a passé la porte.  /  Mon nom est sur la porte.  /  Il y a un homme à la porte.;n
super;super;166.;adj. great, fantastic;Tout est super.  /  Il a été super.;adj
sortir;sortir;167.;v. to exit;;v
heure;l'heure (f);168.;n. hour, time of the clock;Tu as une heure.  /  Je suis là depuis une heure.  /  Nous sommes ici depuis une heure.  /  Que fais-tu ici à cette heure de la nuit ?;n
contre;contre;169.;prep. against;Êtes-vous pour ou contre son idée ?;prep
coup;le coup;170.;"n. bit of something (small quantity); blow, hit, strike";;n
ensemble;ensemble;171.;adv. together;Ils sont toujours ensemble.  /  Nous y sommes tous ensemble.;adv
nouveau;nouveau;172.;adj. new;Tout est nouveau.  /  Quoi de nouveau ?  /  Je dois trouver un nouveau travail.  /  Je me sens comme un homme nouveau.;adj
amour;l'amour (m);173.;n. love;Je veux ton amour.  /  Tu es un amour !  /  Je ne veux que ton amour.;n
sous;sous;174.;prep. under, below;;prep
cas;le cas;175.;"n. case, situation; case (of law or medicine)";Est-ce le cas ?  /  Je ne pense pas que ce soit le cas.;n
rester;rester;176.;v. to stay, to remain, to keep;;v
question;la question;177.;n. question, issue, matter;Quelle était ta question ?  /  La question est quand, pas si.;n
histoire;l'histoire (f);178.;n. history, story;Quelle histoire !  /  Je connais cette histoire.  /  Je crois à cette histoire.  /  Quelle est leur histoire ?  /  Avez-vous déjà entendu cette histoire ?;n
chercher;chercher;179.;v. to search for, to look for;;v
seulement;seulement;180.;adv. just, only;Je veux seulement vous aider.  /  Si seulement il avait été là.;adv
aide;l'aide (f);181.;n. aid, assistance, help;Voulez-vous que je vous aide ?  /  Après tout nous allons avoir besoin de ton aide.;n
genre;le genre;182.;n. kind, type;Elle est mon genre.  /  Je connais ton genre.  /  Quel genre de voiture as-tu ?  /  Qui pourrait faire ce genre de chose ?;n
mois;le mois;183.;n. month;Il vient ici une fois par mois.;n
frère;le frère;184.;n. brother;Je vous ai pris pour votre frère.  /  Il est plus grand que son frère.  /  Il est aussi grand que mon frère.;n
laisser;laisser;185.;v. to leave, to let, to allow;;v
car;car;186.;conj. because, as, since;;conj
mettre;mettre;187.;v. to put, to place;;v
aucun;aucun;188.;adj. no, none, not any;;adj
ville;la ville;189.;n. city, town;Nous sommes en ville.  /  Je veux aller en ville.  /  Je connais bien cette partie de la ville.  /  Si jamais tu viens en ville, passe me voir.;n
chaque;chaque;190.;adj. each, every;Je viens ici chaque jour.  /  Je vous aime de plus en plus chaque jour.;adj
bébé;le bébé;191.;n. baby;Mon petit-fils est encore un bébé.  /  Il est le bébé de la famille.;n
longtemps;longtemps;192.;adv. for a long time, since long ago;;adv
place;la place;193.;n. place, spot;Tout était en place.  /  Tu peux rester à ma place.  /  Chaque chose était à sa place.;n
ni;ni;194.;conj. nor  adv. conj. neither;;adv conj
attention;l'attention (f);195.;"n. attention; (with 'faire') take care";Tu ne peux pas faire attention?  /  Je vais y faire attention pour toi.;n
voici;voici;196.;prep. here is, here it is;;prep
donner;donner;197.;v. to give;Je vais te donner une chance de plus.;v
type;le type;198.;"n. sort, kind, type; guy, dude";;n
corps;le corps;199.;n. body;;n
endroit;l'endroit (m);200.;n. place, spot;Je suis dans un endroit.;n
façon;la façon;201.;n. way, manner;Laisse-moi le faire à ma façon.;n
dont;dont;202.;pro. whose, of which, from which;;pro
premier;premier;203.;adj. first;Tu es en premier.  /  Elle est mon premier amour.  /  Demain est mon premier jour de travail.  /  Je veux savoir qui a donné le premier coup.;adj
main;la main;204.;n. hand;Viens me donner un coup de main.  /  Je peux le faire avec une main.  /  Elle a quelque chose dans la main.;n
côté;le côté;205.;n. side, edge;;n
pouvoir;pouvoir;206.;"v. to be able to do something; can";;v
vieux;vieux;207.;adj. old;;adj
matin;le matin;208.;n. morning;Elle était là ce matin.  /  Je dois partir demain matin.  /  Je me sens bien ce matin.  /  Il est deux heures du matin.  /  Nous avons beaucoup à faire ce matin.;n
tellement;tellement;209.;adv. so, such, so much;Il y a tellement de choses que je veux te dire.;adv
enfant;l'enfant (mf);210.;n. child, kid;Vous êtes une enfant.  /  Est-ce votre enfant ?  /  Même un enfant peut faire ça.  /  Mon enfant était dans la voiture.;n
point;le point;211.;n. point;Sur ce point, tu as raison.;n
suite;la suite;212.;n. result, sequel, next step;;n
pardon;pardon;213.;int. sorry!, excuse me!;;int
devant;devant;214.;prep. before, in front of;Regarde devant toi !;prep
devoir;devoir;215.;aux v. must;;aux v
vers;vers;216.;prep. to, towards;;prep
chambre;la chambre;217.;n. room, bedroom, hotel room;Mon père est dans sa chambre.  /  Voici la chambre de mon père.  /  Tu devrais être dans ta chambre.  /  Ne va pas dans ma chambre !;n
droit;le droit;218.;adj. n. right;Tu as le droit de savoir.;adj n
mme;Mme;219.;abr. Madame;;abr
mari;le mari;220.;n. husband;Mon mari est au travail.  /  Il sera un très bon mari pour elle.;n
cause;la cause;221.;n. cause, reason that something happens;;n
enfin;enfin;222.;adv. finally, in the end;;adv
eau;l'eau (f);223.;n. water;;n
attendez;attendez;224.;int. wait!;;int
nouvelle;la nouvelle;225.;n. (piece of) news;Nous avons une bonne nouvelle.;n
boulot;le boulot;226.;n. job, work;Fais juste le boulot.  /  Il vous faut un boulot.  /  Ils ont fait du bon boulot.  /  Je pense que vous avez fait du bon boulot.;n
arrêter;arrêter;227.;"v. to stop, to halt; to arrest (a criminal)";;v
terre;la terre;228.;n. earth, land;;n
loin;loin;229.;adv. far, distant;Reste loin de ça.  /  La maison est plus loin.  /  Il est parti très loin.  /  Il est loin de chez lui.  /  Je suis loin de chez moi.;adv
fin;la fin;230.;n. end  adj. fine, thin;À la fin, elle a eu une bonne idée.;adj n
croire;croire;231.;v. to believe (in something), to think (that something is the case), to suppose (that something is true);Je sais que tu me crois.  /  Je ne crois pas avoir dit ça.;v
gros;gros;232.;adj. large, big, fat;;adj
plutôt;plutôt;233.;adv. rather, instead;;adv
jouer;jouer;234.;v. to play;;v
bureau;le bureau;235.;n. office, desk, bureau;Viens à mon bureau.  /  Il est au bureau.  /  Es-tu encore au bureau ?  /  Le père est dans son bureau.  /  Mon frère est à son bureau.  /  Puis-je te voir dans mon bureau ?;n
hier;hier;236.;adv. yesterday;Nous avons fait ça hier.;adv
prêt;prêt;237.;adj. ready;Il vous faut être prêt à tout.;adj
celui;celui;238.;pro. this one;;pro
demander;demander;239.;"v. to request something; to ask something";;v
possible;possible;240.;adj. possible;Cela devrait être possible.;adj
jeune;le jeune, la jeune;241.;adj. young  n. young person, youth;Ta mère est très jeune.;adj n
dehors;le dehors;242.;n. adv. outside;Ils sont dehors.  /  Mon frère est dehors.;adv n
école;l'école (f);243.;n. school;;n
beau;beau;244.;adj. beautiful;Tout était si beau.  /  Tu as un nom si beau.;adj
appeler;appeler;245.;v. to call;;v
semaine;la semaine;246.;n. week;Je fais ça une fois par semaine.  /  Tu as eu une semaine pour faire ça.  /  Il y a beaucoup de choses que je dois faire cette semaine.;n
propos;le propos;247.;n. aim, intention, intent;;n
vérité;la vérité;248.;n. truth;En vérité, vous avez raison.  /  Je sais que tu dis la vérité.  /  Il est temps pour moi de te dire la vérité.;n
chef;le chef;249.;n. chief, head, leader;Vous êtes le chef.  /  Je vais appeler le chef.;n
confiance;la confiance;250.;n. confidence, trust;On peut me faire confiance.;n
regardez;regardez;251.;int. look!;Regardez-nous !  /  Regardez-le !  /;int
feu;le feu;252.;n. fire, light;Votre voiture est en feu.  /  La maison a pris feu.;n
vivre;vivre;253.;v. to live, to experience;;v
docteur;le docteur;254.;n. doctor;;n
journée;la journée;255.;n. day;Je peux le faire toute la journée.;n
près;près;256.;adv. near, close, by;Reste près.;adv
madame;la madame;257.;n. madame, madam;;n
meilleur;le meilleur;258.;n. best  adj. n. better;Tu es le meilleur pour ce travail.  /  Je veux faire ce qui est meilleur pour nous deux.;adj n
dessus;dessus;259.;adv. over, above, on top;;adv
téléphone;le téléphone;260.;n. phone, telephone;Passe-moi ce téléphone.  /  Je suis au téléphone.  /  Où est mon téléphone ?  /  Je dois passer un coup de téléphone.  /  Je crois que nous avons parlé au téléphone.;n
dur;dur;261.;adj. hard, tough;Ça doit être dur à faire.;adj
manger;manger;262.;v. to eat;Allons prendre quelque chose à manger !  /  Je pense que je vais aller chercher quelque chose à manger.;v
garçon;le garçon;263.;n. boy;Tu es un bon garçon.  /  Ce garçon est mon fils.;n
mariage;le mariage;264.;n. marriage, wedding;Tout le monde est arrivé au mariage.;n
équipe;l'équipe (f);265.;n. team;Voilà mon équipe.  /  Quelle équipe !  /  Nous avons une bonne équipe.  /  Je sais que nous sommes une assez bonne équipe.;n
arriver;arriver;266.;"v. to arrive; to (come to) happen";;v
guerre;la guerre;267.;n. war;Je suis contre la guerre.  /  Personne au monde ne veut la guerre.;n
derrière;le derrière;268.;adv. prep. behind;Il est juste derrière toi.  /  Il a des yeux derrière la tête.;adv prep
plein;plein;269.;adj. full;;adj
important;important;270.;adj. important, significant;Faire cela est très important.  /  Nous avons un travail important à faire ici.  /  Passer du temps ensemble est important pour moi.;adj
fort;fort;271.;adj. strong, hard;Vous êtes très fort.  /  Cet homme est fort.  /  Comme il est fort !;adj
exactement;exactement;272.;adv. exactly;Je sais exactement ce que je vais faire.  /  Tu dois faire exactement comme je te dis.;adv
presque;presque;273.;adv. almost, nearly, most;Mon travail est presque fini.  /  Il est presque toujours chez lui.  /  Cela fait presque trois ans que je suis ici.;adv
dernier;le dernier;274.;adj. n. last;Le dernier est le meilleur.  /  Puis-je le dire une dernière fois ?  /  Je veux te parler de la nuit dernière.;adj n
fou;le fou;275.;adj. crazy, mad  n. madman;Il est fou.  /  Ne sois pas fou !  /  Ce serait fou de ne pas faire cela.;adj n
fête;la fête;276.;n. party, festival;Tu dois aller à la fête.;n
tomber;tomber;277.;v. to fall, to drop;;v
attendre;attendre;278.;"v. to wait for, to await; to expect";;v
sécurité;la sécurité;279.;n. security, safety;;n
jeu;le jeu;280.;n. game;;n
génial;génial;281.;adj. great, brilliant, fantastic;Il est génial.  /  Tu es vraiment génial.  /  Ce serait vraiment génial.;adj
envie;l'envie (f);282.;"n. desire, wish; envy";;n
capitaine;le capitaine;283.;n. captain, leader;Je suis le capitaine.;n
pays;le pays;284.;n. country;Quel pays !  /  Je veux en savoir plus sur votre pays.  /  Depuis combien de temps êtes-vous dans ce pays ?;n
cours;le cours;285.;"n. course (of events); course, lesson, class";Je dois faire ça avant les cours.  /  Je veux vous parler après le cours.;n
numéro;le numéro;286.;n. number;Prends un numéro !  /  Quel est ton numéro ?  /  Laisse-moi te donner mon numéro de téléphone.  /  Tu as toujours mon numéro de téléphone ?;n
bientôt;bientôt;287.;adv. soon, shortly, in the near future;Il sera bientôt là.  /  Je dois bientôt partir.  /  Ça va bientôt être le matin.  /  Ce sera bientôt le moment de partir.  /  Je pense que le train va bientôt arriver.;adv
cinq;cinq;288.;num. five;Je la connais depuis cinq ans.  /  Elle a cinq ans de moins que moi.;num
parfait;parfait;289.;adj. perfect;Cet endroit est parfait.;adj
minute;la minute;290.;n. minute;Je suis à vous dans une minute.  /  Je peux te parler une minute ?;n
ainsi;ainsi;291.;adv. thus, so, as;Il doit en être ainsi.;adv
autant;autant;292.;"adv. so much; as much as, as far as";;adv
retour;le retour;293.;n. return;Est-ce la raison de ton retour ?;n
peine;la peine;294.;n. pain, effort, trouble (of doing something);;n
instant;l'instant (m);295.;n. moment, instant;Un instant...  /  Juste un instant.  /  Il va venir dans un instant.  /  Je suis à vous dans un instant.;n
mauvais;mauvais;296.;adj. bad, wrong, incorrect;Ne sois pas un mauvais garçon.;adj
penser;penser;297.;v. to think, to imagine;Il vous faut penser à votre famille.  /  Essaie de ne pas y penser !  /  Je vais te dire ce que je pense.;v
mot;le mot;298.;n. word;Il veut toujours avoir le dernier mot.  /  Il me faut avoir un mot avec vous dans mon bureau.;n
film;le film;299.;n. film, movie;Comment était le film ?  /  Tu aurais dû voir le film.  /  Je veux voir le film à nouveau.  /  Je crois que nous avons déjà vu ce film.;n
quatre;quatre;300.;num. four;Nous sommes une famille de quatre.  /  Ils ont quatre cours le matin.;num
essayer;essayer;301.;v. to try, to attempt;Essaie de te mettre à la place de ta mère.;v
rentrer;rentrer;302.;v. to return, to go back;;v
plan;le plan;303.;"n. plan, project; map; plane, surface";Quel est ton plan ?;n
travailler;travailler;304.;v. to work;;v
regarder;regarder;305.;v. to look, to watch;Je voulais juste te regarder.  /  Regarde-moi et fais ce que je fais.;v
parfois;parfois;306.;adv. sometimes;Ça arrive parfois.;adv
faute;la faute;307.;n. fault, error, mistake;;n
choix;le choix;308.;n. choice, option;Faites un autre choix.  /  Vous avez un choix à faire.  /  Je pense que vous avez fait le bon choix.;n
bas;le bas;309.;adj. low  n. bottom;;adj n
heureux;heureux;310.;adj. happy;Je suis très heureux de te revoir.;adj
facile;facile;311.;adj. easy, simple;Ça va être facile.  /  Sa maison est facile à trouver.  /  Ce serait facile de faire ça.;adj
entendre;entendre;312.;v. to hear;Je veux vous entendre le dire.  /  Je pensais ne jamais entendre ça.;v
changer;changer;313.;v. to change;Je vais me changer.;v
lit;le lit;314.;n. bed;Il doit rester au lit.  /  Elle a mis les enfants au lit.;n
entrer;entrer;315.;v. to enter, to go in;;v
plaisir;le plaisir;316.;n. pleasure, joy;Quel plaisir !  /  Ça a toujours été un plaisir de travailler avec toi.;n
ensuite;ensuite;317.;adv. after, afterwards, in turn, next;Que devrais-je faire ensuite ?;adv
propre;propre;318.;"adj. own; clean";;adj
route;la route;319.;n. road, route, way;Il est en route.  /  Tu te tiens sur ma route.  /  Es-tu en route pour chez toi ?;n
tour;le tour;320.;"n. tower; walk, stroll; turn (a chance to use something shared in sequence); circumference";;n
garder;garder;321.;v. to keep, to maintain, to hold;Je vais le garder avec moi.;v
année;l'année (f);322.;n. year;;n
drôle;drôle;323.;adj. funny;Tu es très drôle.  /  Ce serait très drôle.  /  Vous êtes un drôle de type.  /  Vous êtes une drôle de jeune femme.;adj
service;le service;324.;n. service;Je suis à votre service.;n
rendre;rendre;325.;"v. to render, to make (turn into something); to give back, to return";;v
lieu;le lieu;326.;n. place;Vous êtes en lieu sûr.;n
sujet;le sujet;327.;n. subject, topic, matter;Je connais bien le sujet.;n
difficile;difficile;328.;adj. difficult, hard, tough;Cela doit être si difficile pour vous.;adj
pire;le pire;329.;n. worst  adj. worse;;adj n
sorte;la sorte;330.;n. kind, sort, type;;n
ceci;ceci;331.;pro. this;Ceci est pour mon ami.  /  Je dois te parler de ceci.  /  Vous êtes très bon à ceci.  /  Tu es bien trop jeune pour faire ceci.;pro
état;l'état (m);332.;"n. state (condition of something); state, nation";;n
bizarre;bizarre;333.;adj. bizarre;;adj
chien;le chien;334.;n. dog;Ce chien est à moi.  /  Reste loin de ce chien.  /  Votre chien est très gros.  /  Il a peur de ce chien.;n
perdre;perdre;335.;v. to lose, to waste;;v
impossible;impossible;336.;adj. impossible;Tu es impossible.;adj
tôt;tôt;337.;adv. early;Désolé de vous appeler si tôt.  /  Je ne pensais pas être là si tôt.;adv
dès;dès;338.;prep. from, since;;prep
payer;payer;339.;v. to pay;Tu vas payer pour ça.  /  Qui va payer pour tout ceci ?;v
calme;calme;340.;adj. quiet, calm;Reste calme.  /  On se calme.  /  Je suis calme.  /  Sois calme !  /  Essaie de rester calme.  /  Il nous dit de rester calme.;adj
café;le café;341.;n. coffee;Merci pour le café.  /  Je vous ai fait du café.  /  Je vais faire un peu de café.  /  Veux-tu du café ou autre chose ?;n
verre;le verre;342.;"n. glass (transparent substance); glass (vessel for drinking)";;n
ferme;la ferme;343.;n. farm  adj. firm;Je travaille dans une ferme.  /  Il travaille à la ferme du matin au soir.  /  Il était assez fort pour aider son père à la ferme.;adj n
accord;d'accord (m);344.;int. okay, fine;;int
photo;la photo;345.;n. photo, picture;Ceci est une photo de ma voiture.  /  Je veux une photo de ce chien.;n
sûrement;sûrement;346.;adv. surely, certainly;;adv
montrer;montrer;347.;v. to show;Je vais te montrer la ville.  /  Pouvez-vous me montrer comment le faire ?  /  Je savais que tu voulais me montrer quelque chose.  /  Je veux te montrer quelque chose dans mon bureau.;v
cœur;le cœur;348.;n. heart;Suis juste ton cœur.  /  Elle a bon cœur.  /  Je le connais par cœur.  /  Il sera toujours dans mon cœur.;n
hôpital;l'hôpital (m);349.;n. hospital;Elle travaille pour un hôpital.  /  Je veux travailler dans un hôpital.;n
musique;la musique;350.;n. music;Il adore la musique.  /  Il aime beaucoup ce genre de musique.;n
avis;l'avis (m);351.;"n. opinion, view (on a subject); advice; notice, warning";À mon avis, il a raison.;n
sauf;sauf;352.;prep. except, unless  adj. safe;Personne ne peut le faire sauf toi.;adj prep
